Player,Id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS36M,OFFR,OFFR36M,DEFR,DEFR36M,OFFDEFRATE,ASTPERD,BLKPF,RATE,RATETOT,FGA20P,MP10R,MP10A,MP20P
Precious Achiuwa,achiupr01,PF,21,MIA,61,4,12.1,2.0,3.7,0.544,0.0,0.0,0.0,2.0,3.7,0.546,0.544,0.9,1.8,0.509,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,5.0,14.9,4.3,12.8,1.5,4.5,17.3,0.7,0.3,4.9,299.0,14.8,35.6,242.0,48.4
Jaylen Adams,adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,0.125,0.0,0.3,0.0,0.1,0.9,0.16699999999999998,0.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3,4.2,-0.4,-5.5,0.3,4.2,-1.3,inf,0.0,-0.1,-1.0,73.3,65.0,86.7,173.3
Steven Adams,adamsst01,C,27,NOP,58,58,27.7,3.3,5.3,0.614,0.0,0.1,0.0,3.3,5.3,0.62,0.614,1.0,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,9.9,9.9,12.9,4.9,6.4,19.3,1.5,0.4,13.5,783.0,13.9,31.1,145.8,72.9
Bam Adebayo,adebaba01,C,23,MIA,64,64,33.5,7.1,12.5,0.57,0.0,0.1,0.25,7.1,12.4,0.573,0.5710000000000001,4.4,5.5,0.799,2.2,6.7,9.0,5.4,1.2,1.0,2.6,2.3,18.7,20.1,18.3,19.7,6.6,7.1,26.8,2.1,0.4,23.9,1530.0,13.4,37.2,62.0,35.8
LaMarcus Aldridge,aldrila01,C,35,TOT,26,23,25.9,5.4,11.4,0.473,1.2,3.1,0.38799999999999996,4.2,8.3,0.505,0.525,1.6,1.8,0.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5,18.8,9.1,12.6,3.5,4.9,17.5,1.9,0.6,12.4,322.0,16.9,57.6,136.3,38.4
LaMarcus Aldridge,aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,0.46399999999999997,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7,19.0,8.9,12.4,3.3,4.6,17.0,1.7,0.5,11.9,250.0,17.2,57.6,152.4,37.8
LaMarcus Aldridge,aldrila01,C,35,BRK,5,5,26.0,5.0,9.6,0.521,0.8,1.0,0.8,4.2,8.6,0.488,0.563,2.0,2.0,1.0,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8,17.7,9.8,13.6,5.0,6.9,20.5,1.9,1.0,14.8,74.0,15.0,54.2,100.0,40.6
Ty-Shon Alexander,alexaty01,SG,22,PHO,15,0,3.1,0.2,0.8,0.25,0.1,0.6,0.222,0.1,0.2,0.33299999999999996,0.33299999999999996,0.1,0.1,0.5,0.1,0.5,0.7,0.4,0.0,0.1,0.2,0.1,0.6,7.0,0.3,3.5,0.5,5.8,9.3,2.0,1.0,0.9,14.0,26.7,44.3,77.5,103.3
Nickeil Alexander-Walker,alexani01,SG,22,NOP,46,13,21.9,4.2,10.0,0.419,1.7,4.8,0.34700000000000003,2.5,5.2,0.485,0.502,1.0,1.4,0.727,0.3,2.8,3.1,2.2,1.0,0.5,1.5,1.9,11.0,18.1,6.2,10.2,2.4,3.9,14.1,1.5,0.3,8.2,377.0,18.2,70.6,99.5,39.8
Grayson Allen,allengr01,SG,25,MEM,50,38,25.2,3.5,8.3,0.418,2.1,5.5,0.391,1.3,2.8,0.47100000000000003,0.547,1.6,1.8,0.868,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6,15.1,7.4,10.6,2.5,3.6,14.2,2.2,0.1,9.7,485.0,15.7,78.7,114.5,47.5
Jarrett Allen,allenja01,C,22,TOT,63,45,29.6,4.7,7.7,0.618,0.1,0.3,0.316,4.6,7.3,0.631,0.624,3.2,4.6,0.703,3.1,6.9,10.0,1.7,0.5,1.4,1.6,1.5,12.8,15.6,13.0,15.8,7.3,8.9,24.7,1.1,0.9,18.9,1191.0,12.0,29.6,174.1,46.2
Jarrett Allen,allenja01,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0.0,0.0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,15.1,12.6,17.0,7.7,10.4,27.4,0.9,0.9,18.9,227.0,9.6,25.7,157.1,47.7
Jarrett Allen,allenja01,C,22,CLE,51,40,30.3,5.0,8.2,0.609,0.1,0.4,0.316,4.9,7.8,0.623,0.616,3.1,4.5,0.69,3.1,6.8,9.9,1.7,0.5,1.4,1.5,1.5,13.2,15.7,13.3,15.8,7.2,8.6,24.4,1.1,0.9,19.1,974.0,12.4,30.6,178.2,45.9
Al-Farouq Aminu,aminual01,PF,30,TOT,23,14,18.9,1.7,4.3,0.384,0.3,1.6,0.21600000000000003,1.3,2.7,0.484,0.424,0.8,1.0,0.818,1.0,3.8,4.8,1.3,0.8,0.4,1.2,1.3,4.4,8.4,2.9,5.5,3.7,7.0,12.5,1.1,0.3,6.4,147.0,19.5,39.4,145.4,85.9
Al-Farouq Aminu,aminual01,PF,30,ORL,17,14,21.6,2.1,5.2,0.40399999999999997,0.4,1.8,0.226,1.7,3.4,0.5,0.444,0.8,1.0,0.8240000000000001,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5,9.2,3.8,6.3,4.4,7.3,13.6,1.1,0.4,8.0,136.0,18.9,40.0,127.1,78.5
Al-Farouq Aminu,aminual01,PF,30,CHI,6,0,11.2,0.3,1.7,0.2,0.2,1.0,0.16699999999999998,0.2,0.7,0.25,0.25,0.7,0.8,0.8,0.3,2.8,3.2,0.3,0.3,0.0,0.5,1.2,1.5,4.8,0.2,0.6,1.9,6.1,6.7,0.6,0.0,2.1,13.0,22.7,35.0,373.3,149.3
Kyle Anderson,anderky01,PF,27,MEM,69,69,27.3,4.5,9.5,0.46799999999999997,1.4,3.8,0.36,3.1,5.8,0.539,0.54,2.1,2.7,0.7829999999999999,0.8,5.0,5.7,3.6,1.2,0.8,1.2,1.7,12.4,16.4,10.6,14.0,5.3,7.0,21.0,3.0,0.5,15.2,1049.0,15.3,47.9,75.8,44.0
Giannis Antetokounmpo,antetgi01,PF,26,MIL,61,61,33.0,10.3,18.0,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,28.1,30.7,24.5,26.7,9.0,9.8,36.5,1.7,0.4,30.5,1860.0,12.8,30.0,55.9,23.5
Kostas Antetokounmpo,antetko01,PF,23,LAL,15,0,3.7,0.2,0.7,0.3,0.0,0.0,,0.2,0.7,0.3,0.3,0.4,0.9,0.462,0.3,1.0,1.3,0.1,0.1,0.3,0.7,0.5,0.8,7.8,0.0,0.0,0.9,8.8,8.8,0.1,0.6,0.4,6.0,17.5,28.5,370.0,92.5
Thanasis Antetokounmpo,antetth01,SF,28,MIL,57,3,9.7,1.2,2.4,0.489,0.1,0.5,0.24100000000000002,1.1,1.9,0.556,0.515,0.4,0.9,0.51,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2.9,10.8,2.6,9.6,0.5,1.9,11.5,1.0,0.2,2.7,154.0,16.6,44.1,121.2,66.9
Carmelo Anthony,anthoca01,PF,36,POR,69,3,24.5,4.7,11.3,0.42100000000000004,1.9,4.7,0.409,2.8,6.6,0.429,0.506,2.0,2.2,0.89,0.5,2.6,3.1,1.5,0.7,0.6,0.9,2.1,13.4,19.7,7.9,11.6,1.8,2.6,14.2,1.7,0.3,9.5,656.0,16.9,79.0,163.3,36.6
Cole Anthony,anthoco01,PG,20,ORL,47,34,27.1,4.7,11.7,0.397,1.2,3.7,0.337,3.4,8.1,0.424,0.449,2.3,2.8,0.8320000000000001,0.8,3.9,4.7,4.1,0.6,0.4,2.3,2.1,12.9,17.1,8.5,11.3,2.8,3.7,15.0,1.8,0.2,10.8,508.0,18.1,57.7,66.1,42.0
OG Anunoby,anunoog01,SF,23,TOR,43,43,33.3,5.8,12.1,0.48,2.4,6.1,0.39799999999999996,3.4,6.0,0.562,0.58,1.9,2.4,0.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9,17.2,11.4,12.3,3.8,4.1,16.4,1.3,0.3,14.6,628.0,15.2,60.5,151.4,41.9
Ryan Arcidiacono,arcidry01,PG,26,CHI,44,0,10.2,1.1,2.7,0.419,0.6,1.5,0.373,0.5,1.1,0.48,0.526,0.3,0.5,0.65,0.1,1.4,1.5,1.3,0.2,0.0,0.2,1.1,3.1,10.9,2.7,9.5,0.5,1.8,11.3,6.5,0.0,3.0,132.0,17.4,68.0,78.5,65.8
Trevor Ariza,arizatr01,SF,35,MIA,30,27,28.0,3.3,8.0,0.41100000000000003,1.7,4.8,0.35,1.6,3.3,0.5,0.515,1.1,1.5,0.773,0.9,3.9,4.8,1.8,1.0,0.6,0.7,1.8,9.4,12.1,6.7,8.6,3.7,4.8,13.4,2.6,0.3,10.0,300.0,17.0,58.3,155.6,59.6
D.J. Augustin,augusdj01,PG,33,TOT,57,12,19.8,2.4,6.0,0.39399999999999996,1.5,3.8,0.382,0.9,2.2,0.413,0.515,1.5,1.6,0.904,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,7.7,14.0,6.7,12.2,0.8,1.5,13.7,3.0,0.0,7.3,416.0,15.6,123.8,60.0,51.4
D.J. Augustin,augusdj01,PG,33,MIL,37,6,19.3,1.9,5.2,0.37,1.3,3.5,0.38,0.6,1.7,0.349,0.49700000000000005,1.0,1.1,0.9,0.3,1.1,1.4,3.0,0.5,0.0,0.9,0.9,6.1,11.4,5.2,9.7,0.7,1.3,11.0,3.3,0.0,5.8,215.0,17.0,137.9,64.3,63.3
D.J. Augustin,augusdj01,PG,33,HOU,20,6,20.8,3.2,7.6,0.424,1.7,4.4,0.386,1.5,3.2,0.47600000000000003,0.536,2.5,2.7,0.907,0.5,1.8,2.2,3.9,0.4,0.0,1.6,1.2,10.6,18.3,9.0,15.6,1.0,1.7,17.3,2.4,0.0,9.7,194.0,14.3,94.5,53.3,39.2
Deni Avdija,avdijde01,SF,20,WAS,54,32,23.3,2.4,5.8,0.41700000000000004,1.0,3.1,0.315,1.4,2.7,0.535,0.502,0.5,0.8,0.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3,9.7,3.9,6.0,2.7,4.2,10.2,2.0,0.1,6.4,346.0,18.4,47.6,194.2,74.0
Deandre Ayton,aytonde01,C,22,PHO,69,69,30.7,6.2,10.0,0.626,0.1,0.3,0.2,6.2,9.7,0.639,0.629,1.9,2.5,0.769,3.3,7.2,10.5,1.4,0.6,1.2,1.5,2.8,14.4,16.9,13.8,16.2,6.2,7.3,23.5,0.9,0.4,19.4,1339.0,13.9,29.2,219.3,42.6
Udoka Azubuike,azubuud01,C,21,UTA,15,0,3.8,0.3,0.6,0.444,0.0,0.0,,0.3,0.6,0.444,0.444,0.5,0.7,0.8,0.3,0.6,0.9,0.0,0.1,0.3,0.2,0.6,1.1,10.4,0.9,8.5,0.4,3.8,12.3,0.0,0.5,1.1,16.0,10.9,42.2,inf,69.1
Dwayne Bacon,bacondw01,SG,25,ORL,72,50,25.7,4.1,10.1,0.402,0.8,2.9,0.285,3.2,7.2,0.449,0.44299999999999995,2.0,2.4,0.8240000000000001,0.4,2.7,3.1,1.3,0.6,0.1,0.6,1.4,10.9,15.3,6.0,8.4,2.0,2.8,11.2,2.2,0.1,7.6,547.0,18.5,82.9,197.7,47.2
